AUTHOR,TITLE,FORM,TYPE
"AACHEN, Hans von",Venus and Adonis,painting,mythological
"AACHEN, Hans von",Allegory,painting,mythological
"AACHEN, Hans von","Allegory of Peace, Art and Abundance",painting,mythological
"AACHEN, Hans von","Jupiter, Antiope and Cupid",painting,mythological
"AACHEN, Hans von","Pallas Athena, Venus and Juno",painting,mythological
"AACHEN, Hans von","Bacchus, Ceres and Cupid",painting,mythological
"AACHEN, Hans von","Bacchus, Venus and Cupid",painting,mythological
"AACHEN, Hans von",The Amazement of the Gods,painting,mythological
"AACHEN, Hans von",Pan and Selene,painting,mythological
"AACHEN, Hans von",Gaspar Rem,painting,portrait
"AACHEN, Hans von",Portrait of Painter Josef Heintz,painting,portrait
"AACHEN, Hans von",Anna of Tyrol,painting,portrait
"AACHEN, Hans von",Portrait of Emperor Rudolf II,painting,portrait
"AACHEN, Hans von",Two Laughing Men (Self-Portrait),painting,portrait
"AACHEN, Hans von",Self-Portrait with a Glass of Wine,painting,portrait
"AAGAARD, Carl Frederik",Deer beside a Lake,painting,landscape
"AAGAARD, Carl Frederik",The Rose Garden,painting,landscape
"ABADIA, Juan de la",The Archangel Michael,painting,religious
"ABBATE, Niccolò dell'",Stag Hunt,painting,landscape
"ABBATE, Niccolò dell'",Moses Rescued from the Nile,painting,religious
"ABBATE, Niccolò dell'",Death of Eurydice,painting,mythological
"ABBATE, Niccolò dell'",Portrait of a Gentleman with a Falcon,painting,portrait
"ABBATE, Niccolò dell'",Man with Parrot,painting,portrait
"ABBATE, Niccolò dell'",The Rape of Proserpine,painting,mythological
"ABBATE, Niccolò dell'",The Continence of Scipio,painting,mythological
"ABBATE, Niccolò dell'",Orlando Furioso scenes (detail),painting,mythological
"ABBATE, Niccolò dell'",Orlando Furioso scenes (detail),painting,mythological
"ABBATI, Giuseppe",Landscape at Castiglioncello,painting,landscape
"ABBATI, Giuseppe",Country Road with Cypresses,painting,landscape
"ABBATI, Giuseppe",The Cloister of Santa Croce,painting,landscape
