AUTHOR,TITLE,FORM,TYPE
"AACHEN, Hans von",Venus and Adonis,painting,mythological
"AACHEN, Hans von",Allegory,painting,mythological
"AACHEN, Hans von","Allegory of Peace, Art and Abundance",painting,mythological
"AACHEN, Hans von","Jupiter, Antiope and Cupid",painting,mythological
"AACHEN, Hans von","Pallas Athena, Venus and Juno",painting,mythological
"AACHEN, Hans von","Bacchus, Ceres and Cupid",painting,mythological
"AACHEN, Hans von","Bacchus, Venus and Cupid",painting,mythological
"AACHEN, Hans von",David and Bathsheba,painting,historical
"AACHEN, Hans von",The Amazement of the Gods,painting,mythological
"AACHEN, Hans von",Pan and Selene,painting,mythological
"AACHEN, Hans von",Couple with Mirror,painting,genre
"AACHEN, Hans von",A Couple in a Tavern,painting,genre
"AACHEN, Hans von",Gaspar Rem,painting,portrait
"AACHEN, Hans von",Portrait of Painter Josef Heintz,painting,portrait
"AACHEN, Hans von",Anna of Tyrol,painting,portrait
"AACHEN, Hans von",Boy with Grapes,painting,genre
"AACHEN, Hans von",Portrait of Emperor Rudolf II,painting,portrait
"AACHEN, Hans von",Two Laughing Men (Self-Portrait),painting,portrait
"AACHEN, Hans von",Self-Portrait with a Glass of Wine,painting,portrait
"AACHEN, Hans von",Declaration of War before Constantine,painting,historical
"AACHEN, Hans von",Procuring Scene,painting,genre
"AAGAARD, Carl Frederik",Deer beside a Lake,painting,landscape
"AAGAARD, Carl Frederik",The Rose Garden,painting,landscape
"ABADIA, Juan de la",The Archangel Michael,painting,religious
"ABBATE, Niccolò dell'",Chimney breast,painting,other
"ABBATE, Niccolò dell'",Stag Hunt,painting,landscape
"ABBATE, Niccolò dell'",Decoration,painting,interior
"ABBATE, Niccolò dell'",Decoration (detail),painting,interior
"ABBATE, Niccolò dell'",Meeting of Charles V and the Bey of Tunis,painting,historical
"ABBATE, Niccolò dell'",Moses Rescued from the Nile,painting,religious
"ABBATE, Niccolò dell'",Death of Eurydice,painting,mythological
"ABBATE, Niccolò dell'",Portrait of a Gentleman with a Falcon,painting,portrait
