AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Venus and Adonis,1574-88,"Oil on canvas, 68 x 95 cm","Fogg Art Museum, Harvard University, Cambridge",https://www.wga.hu/html/a/aachen/adonis.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Allegory,1598,"Oil on copper, 56 x 47 cm","Alte Pinakothek, Munich",https://www.wga.hu/html/a/aachen/allegory.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Allegory of Peace, Art and Abundance",1602,"Oil on canvas, 197 x 142 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/aachen/allegorz.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Jupiter, Antiope and Cupid",1595-98,"Oil on copper, 31 x 21 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/antiope.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Pallas Athena, Venus and Juno",1593,"Oil on canvas, 54 x 67 cm","Museum of Fine Arts, Boston",https://www.wga.hu/html/a/aachen/athena.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Bacchus, Ceres and Cupid",1595-1605,"Oil on canvas, 163 x 113 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/bacchus.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)","Bacchus, Venus and Cupid",1595-1600,"Oil on canvas, 63 x 50 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/bacchus1.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",David and Bathsheba,1612-15,"Oil on canvas, 128 x 105 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/davidbat.html,painting,historical,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",The Amazement of the Gods,1590s,"Oil on copper, 36 x 46 cm","National Gallery, London",https://www.wga.hu/html/a/aachen/gods.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Pan and Selene,1600-05,"Oil on panel, 40 x 49 cm",Private collection,https://www.wga.hu/html/a/aachen/gods1.html,painting,mythological,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Couple with Mirror,1596,"Copperplate, 25 x 20 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/j_couple.html,painting,genre,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",A Couple in a Tavern,1595-1605,"Oil on canvas, 63 x 51 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/k_couple.html,painting,genre,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Gaspar Rem,1574-75,"Oil on canvas, 49 x 42 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/portrai1.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Portrait of Painter Josef Heintz,1585,"Oil on canvas, 57 x 44 cm","Národní Galerie, Prague",https://www.wga.hu/html/a/aachen/portrai2.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Anna of Tyrol,1604,"Oil on canvas, 58 x 48 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/portrai3.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Boy with Grapes,1600-05,"Oil on wood, 45 x 36 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/portrai4.html,painting,genre,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Portrait of Emperor Rudolf II,1606-08,"Oil on canvas, 60 x 48 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/rudolf2.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Two Laughing Men (Self-Portrait),before 1574,"Oil on panel, 48 x 39 cm","Archdiocesan Museum, Kromeriz",https://www.wga.hu/html/a/aachen/selfpor1.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Self-Portrait with a Glass of Wine,c. 1596,"Oil on canvas, 53 x 44 cm",Private collection,https://www.wga.hu/html/a/aachen/selfport.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Declaration of War before Constantine,1603-04,"Parchment mounted on canvas, 34 x 42 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/war.html,painting,historical,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Procuring Scene,1605-10,"Oil on wood, 114 x 130 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/aachen/z_scene.html,painting,genre,German,1601-1650
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, København)",Deer beside a Lake,1888,"Oil on canvas, 53 x 82 cm",Private collection,https://www.wga.hu/html/a/aagaard/deerlake.html,painting,landscape,Danish,1851-1900
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, København)",The Rose Garden,1877,"Oil on canvas, 98 x 80 cm",Private collection,https://www.wga.hu/html/a/aagaard/rosegard.html,painting,landscape,Danish,1851-1900
"ABADIA, Juan de la",(active 1470-1490 in Huesca),The Archangel Michael,c. 1490,"Wood, 127 x 78 cm","Museu Nacional d'Art de Catalunya, Barcelona",https://www.wga.hu/html/a/abadia/michael.html,painting,religious,Spanish,1451-1500
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",General view,1852-56,Photo,"Église Saint-Martial, Angoulême",https://www.wga.hu/html/a/abadie/angoule1.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Exterior view,1858-69,Photo,"Town Hall, Angoulême",https://www.wga.hu/html/a/abadie/angoule2.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",View of the Tour de Lusignan,1858-69,Photo,"Town Hall, Angoulême",https://www.wga.hu/html/a/abadie/angoule3.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",General view,1875-1919,Photo,"Sacré-Coeur, Paris",https://www.wga.hu/html/a/abadie/sacreco1.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Exterior view,1875-1919,Photo,"Sacré-Coeur, Paris",https://www.wga.hu/html/a/abadie/sacreco2.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Interior view,1875-1919,Photo,"Sacré-Coeur, Paris",https://www.wga.hu/html/a/abadie/sacreco3.html,architecture,religious,French,1851-1900
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",Albarello,c. 1545,Maiolica,"Musée des Beaux-Arts, Rouen",https://www.wga.hu/html/a/abaquesn/albarell.html,ceramics,other,French,1501-1550
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",Ceramic Floor,1542,Ceramics,"Musée National de la Renaissance, Écouen",https://www.wga.hu/html/a/abaquesn/floor1.html,ceramics,other,French,1501-1550
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",Ceramic Floor,1557,Ceramics,"Musée du Louvre, Paris",https://www.wga.hu/html/a/abaquesn/floor2.html,ceramics,other,French,1501-1550
"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",The Flood,-,Ceramic mural composition,"Musée National de la Renaissance, Écouen",https://www.wga.hu/html/a/abaquesn/theflood.html,ceramics,religious,French,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Chimney breast,c. 1552,Oil on canvas,"Château, Écouen",https://www.wga.hu/html/a/abbate/chimney1.html,painting,other,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Chimney breast,c. 1552,Marble,"Château, Écouen",https://www.wga.hu/html/a/abbate/chimney2.html,sculpture,other,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Stag Hunt,1550-52,"Oil on canvas, 116 x 159 cm","Galleria Borghese, Rome",https://www.wga.hu/html/a/abbate/deerhunt.html,painting,landscape,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Decoration,1550,Fresco,"Château, Fontainebleau (Seine-et-Marne)",https://www.wga.hu/html/a/abbate/galerie1.html,painting,interior,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Decoration (detail),1550,Fresco,"Château, Fontainebleau (Seine-et-Marne)",https://www.wga.hu/html/a/abbate/galerie2.html,painting,interior,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Meeting of Charles V and the Bey of Tunis,1545-50,"Oil on canvas, 176 x 211 cm","Courtauld Gallery, London",https://www.wga.hu/html/a/abbate/meeting.html,painting,historical,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Moses Rescued from the Nile,c. 1560,"Oil on canvas, 83 x 83 cm","Musée du Louvre, Paris",https://www.wga.hu/html/a/abbate/moses.html,painting,religious,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Death of Eurydice,1552-71,"Oil on canvas, 189 x 238 cm","National Gallery, London",https://www.wga.hu/html/a/abbate/orpheus.html,painting,mythological,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Portrait of a Gentleman with a Falcon,1548-50,"Oil on canvas, 140 x 117 cm","Art Gallery of New South Wales, Sydney",https://www.wga.hu/html/a/abbate/portrai1.html,painting,portrait,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Man with Parrot,1540s,"Oil on canvas, 125 x 109 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/abbate/portrai2.html,painting,portrait,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",The Rape of Proserpine,c. 1570,"Oil on canvas, 196 x 220 cm","Musée du Louvre, Paris",https://www.wga.hu/html/a/abbate/proserpi.html,painting,mythological,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",The Continence of Scipio,c. 1555,"Oil on canvas, 127 x 115 cm","Musée du Louvre, Paris",https://www.wga.hu/html/a/abbate/scipio.html,painting,mythological,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Orlando Furioso scenes (detail),c. 1560,Fresco,"Pinacoteca Nazionale, Bologna",https://www.wga.hu/html/a/abbate/torfani1.html,painting,mythological,Italian,1501-1550
"ABBATE, Niccolò dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Orlando Furioso scenes (detail),c. 1560,Fresco,"Pinacoteca Nazionale, Bologna",https://www.wga.hu/html/a/abbate/torfani2.html,painting,mythological,Italian,1501-1550
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Landscape at Castiglioncello,1863,"Oil on panel, 10 x 30 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati1.html,painting,landscape,Italian,1851-1900
